ZZ800 X版 排名池 — 2026-06-15 — 共338只
40    天山铝业       002532.SZ       8.1%    65.2  0.05 原材料
41    欧派家居       603833.SH       8.1%    28.3  0.03 可选消费
42    益丰药房       603939.SH       8.1%    30.4  0.03 医药卫生
43    宋城演艺       300144.SZ       8.1%    12.8  0.05 其他
44    三一重工       600031.SH       7.9%   172.0  0.06 工业
45    海康威视       002415.SZ       7.8%   217.2  0.06 信息技术
46    晨光股份       603899.SH       7.8%    19.2  0.03 可选消费
47    顾家家居       603816.SH       7.7%    21.4  0.03 可选消费
48    神州泰岳       300002.SZ       7.7%    10.6  0.01 信息技术
49    深天马A       000050.SZ       7.6%    47.3  0.09 信息技术
50    中远海控       601919.SH       7.6%   205.3  0.01 工业
51    儒意电影       002739.SZ       7.6%    23.2  0.09 其他
52    科沃斯        603486.SH       7.6%    27.0  0.09 可选消费
53    国药股份       600511.SH       7.6%    19.4 -0.02 医药卫生
54    华润三九       000999.SZ       7.5%    42.4  0.01 医药卫生
55    西部矿业       601168.SH       7.5%    71.7  0.05 原材料
56    牧原股份       002714.SZ       7.4%   205.3  0.08 主要消费
57    东阿阿胶       000423.SZ       7.3%    22.1  0.02 医药卫生
58    同仁堂        600085.SH       7.3%    23.4  0.02 医药卫生
59    鄂尔多斯       600295.SH       7.3%    36.5  0.03 原材料
60    圣农发展       002299.SZ       7.2%    22.0  0.11 主要消费
61    恺英网络       002517.SZ       7.1%    21.3  0.02 信息技术
62    京沪高铁       601816.SH       7.1%   204.5  0.01 工业
63    新希望        000876.SZ       7.1%    72.5  0.09 其他
64    新和成        002001.SZ       7.1%    69.0  0.02 医药卫生
65    北新建材       000786.SZ       7.0%    30.1  0.03 原材料
66    潞安环能       601699.SH       7.0%    48.0  0.05 能源
67    海螺水泥       600585.SH       6.9%    70.1  0.03 原材料
68    海油工程       600583.SH       6.8%    25.1  0.02 能源
69    老板电器       002508.SZ       6.7%    13.5  0.01 可选消费
70    顺丰控股       002352.SZ       6.7%   180.5  0.06 工业
71    巨人网络       002558.SZ       6.6%    28.7  0.05 信息技术
72    双汇发展       000895.SZ       6.6%    64.5  0.02 主要消费
73    汤臣倍健       300146.SZ       6.5%    10.8  0.02 主要消费
74    金诚信        603979.SH       6.5%    29.5  0.05 原材料
75    国网信通       600131.SH       6.4%    14.8  0.08 电信业务
76    宁波港        601018.SH       6.4%    58.3  0.05 工业
77    梅花生物       600873.SH       6.2%    19.2  0.04 主要消费
78    山金国际       000975.SZ       6.2%    33.9  0.02 其他
79    苏泊尔        002032.SZ       6.2%    24.5  0.00 可选消费
80    宝钢股份       600019.SH       6.2%   150.9  0.05 原材料
81    中国联通       600050.SH       6.2%   237.7  0.10 电信业务
82    盐湖股份       000792.SZ       6.2%    85.2  0.05 原材料
83    中海油服       601808.SH       6.1%    54.0  0.07 能源
84    伟星新材       002372.SZ       6.1%     9.3  0.04 原材料
85    永泰能源       600157.SH       5.9%    53.7  0.05 公用事业
86    中国电信       601728.SH       5.9%   513.7  0.09 电信业务
87    赤峰黄金       600988.SH       5.9%    32.3  0.02 其他
88    海油发展       600968.SH       5.8%    29.8 -0.00 能源
89    中国海油       600938.SH       5.7%   974.9  0.04 能源
90    公牛集团       603195.SH       5.6%    42.4 -0.01 可选消费
91    指南针        300803.SZ       5.6%    29.4  0.19 信息技术
92    鲁西化工       000830.SZ       5.6%    22.2  0.09 原材料
93    陕西煤业       601225.SH       5.6%   182.1  0.01 能源
94    华新建材       600801.SH       5.6%    40.7  0.02 原材料
95    东方雨虹       002271.SZ       5.5%    25.6  0.08 原材料
96    大华股份       002236.SZ       5.5%    32.3 -0.01 信息技术
97    南方航空       600029.SH       5.5%   204.4  0.10 其他
98    海尔智家       600690.SH       5.5%   171.5  0.01 可选消费
99    节能环境       300140.SZ       5.4%    16.6  0.03 公用事业
100   新奥股份       600803.SH       5.4%    60.3  0.02 公用事业
101   山煤国际       600546.SH       5.3%    21.4  0.00 能源
102   驰宏锌锗       600497.SH       5.3%    25.3  0.08 其他
103   潍柴动力       000338.SZ       5.3%   218.8  0.03 可选消费
104   京能电力       600578.SH       5.3%    60.5  0.06 公用事业
105   中国东航       600115.SH       5.2%   171.5  0.13 其他
106   徐工机械       000425.SZ       5.1%   100.1  0.04 工业
107   美年健康       002044.SZ       5.1%    13.8  0.06 医药卫生
108   宝丰能源       600989.SH       5.0%   102.1  0.04 原材料
109   悍高集团       001221.SZ       5.0%     8.2  0.05 可选消费
110   青岛港        601298.SH       5.0%    30.8 -0.02 工业
111   鱼跃医疗       002223.SZ       5.0%    13.7 -0.01 医药卫生
112   广电运通       002152.SZ       4.9%    13.6  0.01 信息技术
113   广联达        002410.SZ       4.9%     7.5  0.06 信息技术
114   国电南瑞       600406.SH       4.9%   106.6  0.03 工业
115   稳健医疗       300888.SZ       4.9%    10.2  0.03 医药卫生
116   金龙鱼        300999.SZ       4.8%   106.6  0.04 主要消费
117   安井食品       603345.SH       4.8%    14.4  0.02 主要消费
118   中金黄金       600489.SH       4.8%    53.4  0.01 其他
119   伊利股份       600887.SH       4.8%   113.1  0.01 主要消费
120   紫金矿业       601899.SH       4.8%   444.5 -0.01 原材料
121   中国中免       601888.SH       4.8%    47.9  0.01 其他
122   久立特材       002318.SZ       4.7%    11.6 -0.00 原材料
123   迈瑞医疗       300760.SZ       4.7%    81.1  0.01 医药卫生
124   扬农化工       600486.SH       4.6%    12.6  0.04 原材料
125   天士力        600535.SH       4.6%    10.4  0.00 医药卫生
126   爱尔眼科       300015.SZ       4.6%    38.8  0.04 医药卫生
127   美的集团       000333.SZ       4.6%   422.0  0.00 可选消费
128   华东医药       000963.SZ       4.5%    26.7  0.00 医药卫生
129   金发科技       600143.SH       4.5%    35.8  0.07 其他
130   海信家电       000921.SZ       4.5%    36.8  0.01 可选消费
131   中国石油       601857.SH       4.5%  1197.2  0.06 能源
132   海南橡胶       601118.SH       4.5%    18.9  0.09 其他
133   纽威股份       603699.SH       4.5%    19.9  0.02 其他
134   宁德时代       300750.SZ       4.4%   908.8  0.04 工业
135   华能蒙电       600863.SH       4.3%    29.6  0.06 公用事业
136   健帆生物       300529.SZ       4.3%     5.5  0.01 医药卫生
137   华润双鹤       600062.SH       4.3%     8.7 -0.02 医药卫生
138   燕京啤酒       000729.SZ       4.3%    14.5  0.02 主要消费
139   锦浪科技       300763.SZ       4.2%    19.2  0.07 工业
140   长江电力       600900.SH       4.2%   420.7  0.03 公用事业
141   招商公路       001965.SZ       4.2%    53.5  0.01 工业
142   三棵树        603737.SH       4.2%    13.7  0.07 原材料
143   裕同科技       002831.SZ       4.2%    18.5  0.04 可选消费
144   爱美客        300896.SZ       4.2%    11.5 -0.02 医药卫生
145   萤石网络       688475.SH       4.1%     8.2  0.05 信息技术
146   北大荒        600598.SH       4.1%    10.7  0.01 主要消费
147   普洛药业       000739.SZ       4.1%     8.3  0.01 医药卫生
148   凤凰传媒       601928.SH       4.1%    13.4 -0.01 可选消费
149   山东黄金       600547.SH       4.1%    85.6  0.07 其他
150   申能股份       600642.SH       4.0%    36.3  0.03 公用事业
151   中航高科       600862.SH       4.0%     9.5 -0.00 其他
152   福耀玻璃       600660.SH       3.9%    58.9  0.01 可选消费
153   横店东磁       002056.SZ       3.8%    18.3  0.03 工业
154   星宇股份       601799.SH       3.8%    15.1  0.03 可选消费
155   华峰化学       002064.SZ       3.7%    20.2  0.04 其他
156   振华科技       000733.SZ       3.7%    10.3  0.01 信息技术
157   石化油服       600871.SH       3.7%    38.8  0.07 能源
158   安图生物       603658.SH       3.7%     7.4  0.01 医药卫生
159   国投电力       600886.SH       3.7%   101.3  0.05 公用事业
160   山西焦煤       000983.SZ       3.7%    33.4  0.02 能源
161   韵达股份       002120.SZ       3.7%    11.4  0.05 工业
162   东鹏饮料       605499.SH       3.6%    39.1  0.02 主要消费
163   养元饮品       603156.SH       3.6%    19.2  0.03 主要消费
164   贝泰妮        300957.SZ       3.6%     4.9  0.04 可选消费
165   通策医疗       600763.SH       3.6%     5.6  0.02 医药卫生
166   居然智家       000785.SZ       3.5%    13.2  0.07 主要消费
167   锦江酒店       600754.SH       3.5%    14.6  0.04 其他
168   浙版传媒       601921.SH       3.5%     6.4 -0.02 可选消费
169   乐普医疗       300003.SZ       3.4%     8.7  0.01 医药卫生
170   爱玛科技       603529.SH       3.4%    10.7  0.06 可选消费
171   福能股份       600483.SH       3.4%    15.8  0.01 公用事业
172   海天味业       603288.SH       3.4%    64.6 -0.02 主要消费
173   宏发股份       600885.SH       3.4%    17.9  0.01 工业
174   华域汽车       600741.SH       3.3%    47.7  0.00 可选消费
175   宗申动力       001696.SZ       3.3%     8.9  0.03 可选消费
176   恩华药业       002262.SZ       3.3%     6.4 -0.01 医药卫生
177   龙佰集团       002601.SZ       3.2%    20.6  0.04 原材料
178   粤高速A       000429.SZ       3.2%    11.3  0.01 工业
179   中鼎股份       000887.SZ       3.2%    11.8  0.00 可选消费
180   东方盛虹       000301.SZ       3.2%    73.9  0.08 其他
181   特锐德        300001.SZ       3.2%    16.4  0.03 工业
182   浙江新能       600032.SH       3.1%    18.2  0.06 公用事业
183   深圳燃气       601139.SH       3.1%    12.2  0.04 公用事业
184   太钢不锈       000825.SZ       3.1%    13.3  0.05 原材料
185   恒瑞医药       600276.SH       3.0%    82.7  0.03 医药卫生
186   完美世界       002624.SZ       3.0%     8.0  0.01 信息技术
187   杰瑞股份       002353.SZ       2.9%    45.1  0.05 其他
188   广东宏大       002683.SZ       2.9%    11.0  0.01 原材料
189   三星电气       601567.SH       2.9%     8.3  0.01 工业
190   华测检测       300012.SZ       2.9%     7.1  0.02 其他
191   中国移动       600941.SH       2.9%   759.7  0.03 电信业务
192   陕西能源       001286.SZ       2.9%    22.7  0.04 公用事业
193   兴业银锡       000426.SZ       2.9%    19.6  0.02 其他
194   中煤能源       601898.SH       2.8%    80.0  0.01 能源
195   华利集团       300979.SZ       2.7%    10.5 -0.02 可选消费
196   伟明环保       603568.SH       2.7%    11.3  0.02 公用事业
197   万丰奥威       002085.SZ       2.7%     9.0  0.01 可选消费
198   节能风电       601016.SH       2.7%    13.3  0.07 公用事业
199   华兰生物       002007.SZ       2.7%     6.8 -0.02 医药卫生
200   万向钱潮       000559.SZ       2.7%    13.6  0.02 可选消费
201   大唐发电       601991.SH       2.6%    95.3  0.07 公用事业
202   同花顺        300033.SZ       2.6%    36.3  0.01 信息技术
203   惠泰医疗       688617.SH       2.5%     6.8  0.01 医药卫生
204   中金岭南       000060.SZ       2.5%    14.2  0.03 其他
205   泰格医药       300347.SZ       2.5%     9.0  0.00 医药卫生
206   柏楚电子       688188.SH       2.5%    10.7 -0.02 工业
207   中国神华       601088.SH       2.5%   266.6 -0.00 能源
208   九州通        600998.SH       2.4%    20.4  0.00 医药卫生
209   科华数据       002335.SZ       2.4%     8.2  0.05 工业
210   华测导航       300627.SZ       2.4%     6.0 -0.01 电信业务
211   网宿科技       300017.SZ       2.4%     8.2  0.01 信息技术
212   金山办公       688111.SH       2.3%    24.0  0.03 信息技术
213   京东方A       000725.SZ       2.3%    87.3  0.10 信息技术
214   深信服        300454.SZ       2.3%    11.4  0.06 信息技术
215   合合信息       688615.SH       2.3%     5.2  0.03 信息技术
216   上海医药       601607.SH       2.2%    38.3 -0.02 医药卫生
217   光威复材       300699.SZ       2.2%     5.5  0.06 其他
218   天合光能       688599.SH       2.2%    22.3  0.13 工业
219   人民网        603000.SH       2.2%     3.9  0.03 信息技术
220   上汽集团       600104.SH       2.2%   125.2  0.01 可选消费
221   睿创微纳       688002.SH       2.1%    12.8  0.07 电信业务
222   百润股份       002568.SZ       2.0%     4.5  0.01 其他
223   德业股份       605117.SH       2.0%    27.0  0.02 工业
224   法拉电子       600563.SH       2.0%     7.3 -0.01 信息技术
225   科达利        002850.SZ       1.9%    11.5 -0.01 工业
226   安琪酵母       600298.SH       1.9%     7.8  0.02 主要消费
227   东方明珠       600637.SH       1.9%     6.5  0.02 其他
228   双林股份       300100.SZ       1.8%     3.7  0.03 可选消费
229   顺络电子       002138.SZ       1.8%     9.7  0.03 信息技术
230   恒生电子       600570.SH       1.8%     8.3 -0.02 信息技术
231   中国石化       600028.SH       1.8%   288.7  0.06 能源
232   华熙生物       688363.SH       1.8%     3.0  0.03 医药卫生
233   华能国际       600011.SH       1.7%    88.9  0.07 公用事业
234   康泰生物       300601.SZ       1.7%     3.0  0.04 医药卫生
235   中信重工       601608.SH       1.7%     5.6  0.02 工业
236   国电电力       600795.SH       1.7%    78.5  0.07 公用事业
237   彩虹股份       600707.SH       1.7%     8.5  0.09 信息技术
238   汇川技术       300124.SZ       1.7%    36.6  0.02 其他
239   德赛西威       002920.SZ       1.6%    10.8  0.01 可选消费
240   中国巨石       600176.SH       1.6%    28.3 -0.00 其他
241   科伦药业       002422.SZ       1.6%    10.2  0.00 医药卫生
242   电投能源       002128.SZ       1.6%    14.6  0.02 能源
243   中国汽研       601965.SH       1.6%     2.6 -0.01 其他
244   南钢股份       600282.SH       1.6%    10.0  0.00 原材料
245   云赛智联       600602.SH       1.6%     4.1  0.04 信息技术
246   豪威集团       603501.SH       1.5%    17.8 -0.01 其他
247   璞泰来        603659.SH       1.5%    11.8 -0.01 原材料
248   芯动联科       688582.SH       1.5%     2.8  0.00 信息技术
249   均胜电子       600699.SH       1.5%    10.9  0.05 可选消费
250   中远海能       600026.SH       1.5%    17.5  0.02 工业
251   达梦数据       688692.SH       1.5%     4.0 -0.01 信息技术
252   宝信软件       600845.SH       1.5%     8.9  0.03 信息技术
253   电连技术       300679.SZ       1.4%     3.7  0.06 信息技术
254   卧龙电驱       600580.SH       1.4%     9.3  0.02 工业
255   杭氧股份       002430.SZ       1.4%     5.2  0.03 其他
256   江苏有线       600959.SH       1.4%     3.6  0.04 其他
257   中材科技       002080.SZ       1.3%    18.5  0.05 其他
258   南大光电       300346.SZ       1.3%     5.6  0.04 其他
259   南网科技       688248.SH       1.3%     3.5  0.00 工业
260   水晶光电       002273.SZ       1.2%     6.0  0.00 信息技术
261   扬杰科技       300373.SZ       1.2%     6.8  0.02 其他
262   珠江啤酒       002461.SZ       1.2%     2.3  0.00 主要消费
263   贝达药业       300558.SZ       1.2%     2.9  0.05 医药卫生
264   环旭电子       601231.SH       1.2%    11.1  0.01 信息技术
265   首创环保       600008.SH       1.2%    10.0  0.01 公用事业
266   白银有色       601212.SH       1.1%     7.7  0.02 原材料
267   康龙化成       300759.SZ       1.1%     5.5  0.05 医药卫生
268   长盛轴承       300718.SZ       1.0%     2.2 -0.02 其他
269   三花智控       002050.SZ       1.0%    19.4  0.00 可选消费
270   中科软        603927.SH       1.0%     1.3 -0.00 信息技术
271   星宸科技       301536.SZ       0.9%     3.5  0.02 其他
272   永兴材料       002756.SZ       0.9%     2.7 -0.02 其他
273   三环集团       300408.SZ       0.9%    23.0 -0.00 信息技术
274   中国海防       600764.SH       0.9%     1.3  0.01 其他
275   乖宝宠物       301498.SZ       0.9%     1.4 -0.01 其他
276   深科技        000021.SZ       0.8%     5.4  0.00 信息技术
277   蓝思科技       300433.SZ       0.8%    20.2  0.08 信息技术
278   亚钾国际       000893.SZ       0.8%     4.0  0.02 原材料
279   温氏股份       300498.SZ       0.8%    10.7  0.07 主要消费
280   招商轮船       601872.SH       0.8%    12.6  0.03 工业
281   华能水电       600025.SH       0.8%    25.9  0.04 公用事业
282   华鲁恒升       600426.SH       0.8%     5.5 -0.00 原材料
283   拓普集团       601689.SH       0.8%     9.8  0.03 可选消费
284   生益科技       600183.SH       0.8%    29.0  0.03 信息技术
285   厦门钨业       600549.SH       0.8%     9.8 -0.02 其他
286   双环传动       002472.SZ       0.8%     3.2  0.05 可选消费
287   北京君正       300223.SZ       0.8%     5.3  0.02 其他
288   北部湾港       000582.SZ       0.8%     3.3  0.04 工业
289   兴蓉环境       000598.SZ       0.7%     3.3  0.02 公用事业
290   复星医药       600196.SH       0.7%     7.6 -0.00 医药卫生
291   中瓷电子       003031.SZ       0.7%     4.4  0.03 信息技术
292   华润微        688396.SH       0.7%     5.8  0.04 其他
293   华大九天       301269.SZ       0.7%     3.8  0.08 其他
294   和而泰        002402.SZ       0.7%     2.0 -0.02 信息技术
295   钒钛股份       000629.SZ       0.7%     2.1  0.04 其他
296   国瓷材料       300285.SZ       0.6%     4.0  0.00 其他
297   通富微电       002156.SZ       0.6%     7.5  0.11 其他
298   澜起科技       688008.SH       0.6%    17.6 -0.02 其他
299   航材股份       688563.SH       0.6%     1.3 -0.01 其他
300   航发控制       000738.SZ       0.6%     1.4  0.03 其他
301   万华化学       600309.SH       0.6%    23.9  0.05 原材料
302   太阳能        000591.SZ       0.6%     2.8  0.06 公用事业
303   大族激光       002008.SZ       0.6%     8.3 -0.00 工业
304   鼎龙股份       300054.SZ       0.5%     3.8  0.03 原材料
305   巨化股份       600160.SH       0.5%     6.4  0.03 原材料
306   天赐材料       002709.SZ       0.5%     5.2 -0.02 原材料
307   昊华科技       600378.SH       0.5%     4.0  0.00 原材料
308   龙旗科技       603341.SH       0.5%     1.6  0.02 电信业务
309   信维通信       300136.SZ       0.5%     4.6  0.06 信息技术
310   华菱钢铁       000932.SZ       0.5%     4.4  0.01 原材料
311   春秋航空       601021.SH       0.5%     2.9  0.08 其他
312   世运电路       603920.SH       0.4%     1.8  0.02 信息技术
313   银轮股份       002126.SZ       0.4%     2.1  0.01 可选消费
314   隧道股份       600820.SH       0.4%     5.1 -0.00 工业
315   沃尔核材       002130.SZ       0.4%     1.2 -0.02 工业
316   阿特斯        688472.SH       0.4%     2.6  0.09 工业
317   凯莱英        002821.SZ       0.4%     1.4  0.01 医药卫生
318   深圳能源       000027.SZ       0.4%     4.7  0.05 公用事业
319   捷捷微电       300623.SZ       0.4%     1.0  0.03 其他
320   兆易创新       603986.SH       0.3%    10.8  0.02 其他
321   圣邦股份       300661.SZ       0.3%     2.1 -0.01 其他
322   新宙邦        300037.SZ       0.3%     2.0 -0.01 原材料
323   中控技术       688777.SH       0.3%     2.8 -0.01 工业
324   沪电股份       002463.SZ       0.3%     6.7 -0.02 信息技术
325   鹏鼎控股       002938.SZ       0.3%     6.6  0.06 信息技术
326   晶盛机电       300316.SZ       0.3%     1.8 -0.01 工业
327   东山精密       002384.SZ       0.2%     9.2  0.07 信息技术
328   信立泰        002294.SZ       0.2%     0.8  0.03 医药卫生
329   兖矿能源       600188.SH       0.2%     9.6  0.00 能源
330   中联重科       000157.SZ       0.2%     2.2 -0.01 工业
331   中国卫通       601698.SH       0.2%     2.0  0.03 电信业务
332   润和软件       300339.SZ       0.1%     0.4  0.00 信息技术
333   绿的谐波       688017.SH       0.1%     0.5  0.00 其他
334   大北农        002385.SZ       0.1%     0.2  0.04 其他
335   科大讯飞       002230.SZ       0.0%     0.6  0.06 信息技术
336   深南电路       002916.SZ       0.0%     0.7  0.01 信息技术
337   乐鑫科技       688018.SH       0.0%     0.1  0.00 其他
338   中兴通讯       000063.SZ       0.0%     0.3 -0.01 电信业务
